Gene	Symbol	Description At Homolog	
Zm00001d002003		Probable phosphoribosylformylglycinamidine synthase chloroplastic/mitochondrial	
Zm00001d002004	pco083783	Peroxidase 16	
Zm00001d002005	lg1	liguleless1	AT1G02065
Zm00001d002006	mha2	plasma-membrane H+ATPase2	AT4G30190,AT5G57350,AT2G18960
Zm00001d002007		DEAD-box ATP-dependent RNA helicase 18	
Zm00001d002008		evolutionarily conserved C-terminal region 10	
Zm00001d002011	ereb45	AP2-EREBP-transcription factor 45	
Zm00001d002012	mkaku42	Maize KAKU4-Like2	
Zm00001d002013		OSJNBb0022F16.11 protein;  protein	
Zm00001d002014		Os07g0120600 protein	
Zm00001d002015		Os07g0120600 protein	
Zm00001d002016		Os07g0120600 protein	
Zm00001d002017		Os07g0120600 protein	
Zm00001d002018		Os07g0120600 protein	
Zm00001d002019		OSJNBb0022F16.11 protein;  protein	
Zm00001d002020	GRMZM2G059740	OSJNBb0022F16.11 protein;  protein	
Zm00001d002022	cax2	calcium exchanger2	
Zm00001d002023	gras35	GRAS-transcription factor 35	
Zm00001d002024		NADPH--cytochrome P450 reductase 2	AT4G30210
Zm00001d002025	ereb24	AP2-EREBP-transcription factor 24	AT5G57390
Zm00001d002026		Protein kinase superfamily protein	AT2G18890
Zm00001d002027	pco066126	COP9 signalosome complex subunit 5b	AT1G71230,AT1G22920
Zm00001d002028		Protein FATTY ACID EXPORT 2 chloroplastic	AT3G43520
Zm00001d002029	zim32	ZIM-transcription factor 32	AT5G20900
Zm00001d002031		Amino acid kinase family protein	
Zm00001d002034		6%2C7-dimethyl-8-ribityllumazine synthase	AT2G44050
Zm00001d002035	pco102923	Endonuclease 2	
Zm00001d002036		Golgin candidate 2	AT1G18190
Zm00001d002038	ast91	anti-sigma factor antagonist domain of sulfate transporter91	AT1G23090
Zm00001d002039		Wall-associated receptor kinase-like protein 9	AT1G16110,AT4G31110,AT4G31100,AT1G16130,AT1G19390,AT1G16260,AT1G79680,AT1G79670,AT1G16160,AT1G17910,AT1G69730,AT1G16120,AT1G16150
Zm00001d002040		Helicase	
Zm00001d002042		Peroxidase 52	
Zm00001d002044		Protein SIEL	
Zm00001d002046		Alpha-N-acetylglucosaminidase	
Zm00001d002047		Probable protein phosphatase 2C 33	
Zm00001d002049		Growth-regulating factor 6	
Zm00001d002051		D-3-phosphoglycerate dehydrogenase 3 chloroplastic	AT4G34200
Zm00001d002052		Probable isoaspartyl peptidase/L-asparaginase 2	
Zm00001d002053		Small RNA degrading nuclease 3	AT3G50100,AT5G67240,AT5G05540
Zm00001d002054	pet3	photosynthetic electron transport3	
Zm00001d002055		Ripening-related protein 3	
Zm00001d002056		CDT1-like protein a chloroplastic	
Zm00001d002057		Ripening-related protein 3	
Zm00001d002062		Peptidyl-prolyl cis-trans isomerase CYP37 chloroplastic	
Zm00001d002063		UDP-glycosyltransferase 89B1	AT1G73880
Zm00001d002064		Glycosyltransferase	
Zm00001d002065	mir3	maize insect resistance3	AT1G47128,AT5G43060
Zm00001d002066	irx15	irregular xylem ortholog15	AT2G15440,AT5G67210,AT3G50220
Zm00001d002067		Protein IRX15-LIKE	
Zm00001d002068	cl5953_1	Probable inactive receptor kinase	AT3G50230,AT5G67200,AT5G43020
Zm00001d002069		DNA topoisomerase 2	
Zm00001d002071		DNA topoisomerase 2	
Zm00001d002075	ereb197	AP2-EREBP-transcription factor 197	AT4G36920
Zm00001d002079	ereb47	AP2-EREBP-transcription factor 47	AT3G50260,AT4G36900,AT2G23340,AT5G67190
Zm00001d002080		E3 ubiquitin-protein ligase MBR2	AT2G15530,AT4G34040
Zm00001d002082		Crossover junction endonuclease EME1B	AT2G22140,AT2G21800
Zm00001d002084		zinc finger (ubiquitin-hydrolase) domain-containing protein	AT2G42160
Zm00001d002085	pco095943(114)	Glycerol kinase	AT1G80460
Zm00001d002086		Ubiquitin carboxyl-terminal hydrolase 22	AT5G10790
Zm00001d002087	cl34132_1a	EamA-like transporter family	AT4G32140
Zm00001d002088	vq13	VQ motif-transcription factor13	AT1G80450
Zm00001d002089		Tetratricopeptide repeat (TPR)-like superfamily protein	
Zm00001d002090		Synaptotagmin-5	AT1G05500
Zm00001d002091		Putative chloride channel-like protein CLC-g	AT5G33280
Zm00001d002093		36.4 kDa proline-rich protein	
Zm00001d002094		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	
Zm00001d002095	AY109603	ubiquitin-associated (UBA)/TS-N domain-containing protein	AT2G12550
Zm00001d002096		Sterile alpha motif (SAM) domain-containing protein	AT1G80520
Zm00001d002098	emp12	empty pericarp12	AT1G80550
Zm00001d002099		Cyclic nucleotide-gated ion channel 9	AT1G15990,AT4G30560,AT5G57940,AT1G19780,AT2G23980
Zm00001d002100		OSJNBa0063C18.20 protein; OSJNBa0033G05.6 protein;  protein	
Zm00001d002103		3-oxoacyl-[acyl-carrier-protein] synthase III chloroplastic	AT1G62640
Zm00001d002104	ami4	amidase4	AT3G25660
Zm00001d002105	pco119647	V-type proton ATPase subunit D	AT3G58730
Zm00001d002106		Protein kinase family protein	
Zm00001d002108		Golgin candidate 6	
Zm00001d002110		Transcription initiation factor TFIID subunit 7	
Zm00001d002112		Retrovirus-related Pol polyprotein LINE-1	
Zm00001d002115		Microtubule-associated protein RP/EB family member 1B	AT5G62500,AT3G47690
Zm00001d002119		ABC transporter B family member 19	AT3G28860
Zm00001d002120		DEAD-box ATP-dependent RNA helicase 30	
Zm00001d002121	ili1	increased leaf inclination1	
Zm00001d002122	TIDP3539	RNA-binding (RRM/RBD/RNP motifs) family protein	AT1G14340
Zm00001d002123		Glutaredoxin family protein	AT2G41330,AT3G57070
Zm00001d002124	pme9	pectin methylesterase9	
Zm00001d002125	nrpd2/e2	nuclear RNA polymerase D2/E2	AT3G18090,AT3G23780
Zm00001d002126		loricrin-related	
Zm00001d002127		Tetratricopeptide repeat (TPR)-like superfamily protein	
Zm00001d002128		Shikimate kinase 1 chloroplastic	AT2G21940,AT4G39540
Zm00001d002129	BE640649	Protein kinase superfamily protein	AT1G71810
Zm00001d002131		2-Sep	
Zm00001d002135		FGGY family of carbohydrate kinase	
Zm00001d002136		Protein MIZU-KUSSEI 1	
Zm00001d002137	propep1	precursor elicitor peptide1	
Zm00001d002138	propep3	precursor elicitor peptide3	
Zm00001d002139		Transferase	
Zm00001d002140		ENTH/VHS family protein	AT5G65180,AT5G10060
Zm00001d002141		UBP1-associated protein 2A	
Zm00001d002143	bzip27	bZIP-transcription factor 27	AT5G65210,AT5G10030
Zm00001d002144	epf2	epidermal patterning factor-like2	
Zm00001d002145		Formation of crista junctions protein 1	AT4G39690
Zm00001d002146		BTB/POZ domain-containing protein	
Zm00001d002148		Syntaxin-51	
Zm00001d002149		Probable galacturonosyltransferase 10	AT2G20810
Zm00001d002150		Micronuclear linker histone polyprotein-like protein	
Zm00001d002153		Heterogeneous nuclear ribonucleoprotein U-like protein 1	
Zm00001d002154	mre11a	meiotic recombination protein 11 homolog A	AT5G54260
Zm00001d002155		LSM7-like	AT2G03870
Zm00001d002156	sgb101	silencing gene B101	AT5G13780
Zm00001d002157		Pentatricopeptide repeat-containing protein  mitochondrial	AT1G03560
Zm00001d002158		Wound-responsive family protein	AT4G10265,AT4G10270
Zm00001d002159	umc2403	Wound induced protein	AT4G10265,AT4G10270
Zm00001d002160		Wound-responsive family protein	AT4G10265,AT4G10270
Zm00001d002161		Wound-responsive family protein	
Zm00001d002163	dgk3	diacylglycerol kinase3	AT4G28130,AT2G20900
Zm00001d002166		Eukaryotic translation initiation factor 3 subunit C	AT3G56150
Zm00001d002167		Protein kinase superfamily protein	
Zm00001d002168		Receptor-like serine/threonine-protein kinase SD1-8	
Zm00001d002169		Eukaryotic translation initiation factor 3 subunit C	AT3G56150
Zm00001d002172		G-type lectin S-receptor-like serine/threonine-protein kinase B120	
Zm00001d002173		Receptor-like serine/threonine-protein kinase SD1-8	
Zm00001d002174		Cysteine-rich receptor-like protein kinase 6	
Zm00001d002175		Receptor-like protein kinase FERONIA	
Zm00001d002176		Lysine histidine transporter 2	AT1G24400,AT1G67640
Zm00001d002178		G-type lectin S-receptor-like serine/threonine-protein kinase B120	
Zm00001d002179		F-box only protein 7	AT2G03610,AT2G04810,AT2G33190,AT2G33200,AT5G38270,AT2G03560,AT2G04840,AT2G17030,AT5G60060
Zm00001d002181		G-type lectin S-receptor-like serine/threonine-protein kinase B120	
Zm00001d002182		F-box only protein 7	
Zm00001d002184	pza03747	Peroxisome biogenesis protein 22	AT3G21865
Zm00001d002185	sdg140	Histone-lysine N-methyltransferase ATXR2	AT3G21820
Zm00001d002186	dv1	divergent spindle1	AT5G54670,AT4G21270,AT4G05190,AT4G27180
Zm00001d002187		Pentatricopeptide repeat-containing protein	AT2G17033
Zm00001d002190	sda1	severe depolymerization of actin1	AT4G31520,AT1G13160
Zm00001d002191		Organic cation/carnitine transporter 4	AT3G20660
Zm00001d002193		Xyloglucan endotransglucosylase/hydrolase protein 9	
Zm00001d002194		receptor like protein 29	
Zm00001d002195		Testis intracellular mediator protein	
Zm00001d002198		Receptor-like serine/threonine-protein kinase SD1-8	
Zm00001d002199		Receptor-like serine/threonine-protein kinase SD1-8	
Zm00001d002200	umc1961	Transcription factor bHLH112	AT1G61660
Zm00001d002202		CRIB domain-containing protein RIC10	
Zm00001d002204		ABC transporter I family member 1	AT1G63270
Zm00001d002205		F-box only protein 7	AT2G03610,AT2G04810,AT2G33190,AT2G33200,AT5G38270,AT2G03560,AT2G04840,AT2G17030,AT5G60060
Zm00001d002207		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	
Zm00001d002208		CRIB domain-containing protein RIC10	
Zm00001d002211		F-box only protein 7	AT2G03610,AT2G04810,AT2G33190,AT2G33200,AT5G38270,AT2G03560,AT2G04840,AT2G17030,AT5G60060
Zm00001d002213		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	
Zm00001d002214		CRIB domain-containing protein RIC10	AT1G61795
Zm00001d002216		ABC transporter I family member 1	AT2G03610,AT2G04810,AT5G60060,AT2G33190,AT2G33200,AT5G38270,AT2G03560,AT2G04840,AT2G17030,AT1G63270
Zm00001d002217		F-box only protein 7	AT2G03610,AT2G04810,AT2G33190,AT2G33200,AT5G38270,AT2G03560,AT2G04840,AT2G17030,AT5G60060
Zm00001d002220		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	
Zm00001d002221		CRIB domain-containing protein RIC10	
Zm00001d002224		ABC transporter I family member 1	AT1G63270
Zm00001d002225		F-box only protein 7	
Zm00001d002227		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	
Zm00001d002228		CRIB domain-containing protein RIC10	AT1G61795
Zm00001d002230		ABC transporter I family member 1	
Zm00001d002231		F-box only protein 7	AT2G03610,AT2G04810,AT2G33190,AT2G33200,AT5G38270,AT2G03560,AT2G04840,AT2G17030,AT5G60060
Zm00001d002232		F-box only protein 7	AT2G03610,AT2G04810,AT2G33190,AT2G33200,AT5G38270,AT2G03560,AT2G04840,AT2G17030,AT5G60060
Zm00001d002234	hb75	Homeobox-transcription factor 75	AT4G04890,AT4G21750
Zm00001d002240		Chloroplastic lipocalin	AT3G47860
Zm00001d002243	pco079863	Polyadenylate-binding protein-interacting protein 3	AT4G26990,AT5G54920
Zm00001d002244		Polyadenylate-binding protein RBP45C	AT1G11650
Zm00001d002246	pks1	polyketide synthesis homolog1	AT3G56460
Zm00001d002247		Speckle-type POZ protein-like protein	
Zm00001d002250		Probable cinnamyl alcohol dehydrogenase 1	AT1G72270,AT4G27010,AT1G72680
Zm00001d002252		myosin heavy chain-related	AT1G50660,AT3G20350
Zm00001d002253		60S ribosomal protein L27	AT3G22230,AT2G32220,AT4G15000
Zm00001d002256	ss2	starch synthase3	
Zm00001d002257	atg8c	autophagy8c	AT1G62040
Zm00001d002258	IDP232	Aminomethyltransferase	AT1G11860
Zm00001d002259		Signal recognition particle 14 kDa protein	AT2G43640
Zm00001d002260		Peroxisomal (S)-2-hydroxy-acid oxidase GLO1	
Zm00001d002261		Peroxisomal (S)-2-hydroxy-acid oxidase GLO1	AT3G14420,AT3G14415,AT4G18360
Zm00001d002263		Peptidase M1 family protein	
Zm00001d002266	GRMZM2G000052	Lysine-specific histone demethylase 1	AT2G43020,AT3G59050
Zm00001d002267		Transcription factor GTE7	
Zm00001d002269		Potassium transporter 17	
Zm00001d002271		Nitrate-induced NOI protein	
Zm00001d002272	cl8900_1	SIT4 phosphatase-associated family protein	AT1G30470
Zm00001d002274	AY112075	Remorin family protein	AT1G30320
Zm00001d002275	mrpa5	multidrug resistance-associated protein5	AT2G34660,AT1G30400
Zm00001d002277		BAG family molecular chaperone regulator 1	
Zm00001d002278		OSJNBa0058K23.15 protein;  protein	
Zm00001d002279		F-box/WD-40 repeat-containing protein	
Zm00001d002280		Testis intracellular mediator protein	
Zm00001d002281	mybr50	MYB-related-transcription factor 50	
Zm00001d002282		Probable receptor-like protein kinase	AT1G30570
Zm00001d002283		Protein kinase superfamily protein	AT1G16670
Zm00001d002284		F-box/kelch-repeat protein	AT5G60570
Zm00001d002285	nactf22	NAC-transcription factor 22	
Zm00001d002286		OSJNBa0058K23.8 protein;  protein	
Zm00001d002287		LRR receptor-like serine/threonine-protein kinase FLS2	AT5G46330
Zm00001d002288	bhlh148	bHLH-transcription factor 148	AT4G28811,AT4G28815
Zm00001d002292	gpm461b	NAD(P)-binding Rossmann-fold superfamily protein	AT5G44480,AT4G20460,AT1G30620
Zm00001d002295		Germin-like protein subfamily 1 member 11	
Zm00001d002296	TIDP3748	Imidazoleglycerol-phosphate dehydratase 1 chloroplastic	AT4G14910,AT3G22425
Zm00001d002302		Auxin responsive protein	
Zm00001d002304		Auxin responsive protein	
Zm00001d002305		AP-3 complex subunit mu	
Zm00001d002308		DNA polymerase eta	
Zm00001d002311		hAT transposon superfamily protein	
Zm00001d002312		Leucine-rich repeat transmembrane protein kinase	
Zm00001d002313		Leucine-rich repeat transmembrane protein kinase	AT1G56140,AT1G56130,AT1G56120,AT1G56145
Zm00001d002314	cl44168_1	Tetratricopeptide repeat (TPR)-like superfamily protein	AT1G56090
Zm00001d002315	IDP2388	OSJNBa0008M17.14 protein;  protein	
Zm00001d002316	ago2a	argonaute2a	AT1G31290,AT1G31280
Zm00001d002317	apo1	accumulation of photosystem one1	AT1G64810
Zm00001d002319		Lecithin-cholesterol acyltransferase-like 4	AT4G19860
Zm00001d002323	IDP54	Trypsin family protein	
Zm00001d002326	aaa1	adenosylmethionine aminotransferase 1	
Zm00001d002328		Probable inactive purple acid phosphatase 16	
Zm00001d002330	met5	DNA methyl transferase5	AT1G69770,AT4G19020
Zm00001d002332	mads9	MADS-transcription factor 9	AT3G12800,AT5G23260
Zm00001d002333	hak11	potassium high-affinity transporter11	AT1G31120,AT2G35060
Zm00001d002334		AICARFT/IMPCHase bienzyme family protein	AT2G35040
Zm00001d002336		Exosome complex component RRP45B	
Zm00001d002338		UDP-N-acetylglucosamine diphosphorylase 2	AT1G31070,AT2G35020
Zm00001d002339	uaz251b(rpS11)	40S ribosomal protein S11	AT5G23740,AT3G48930
Zm00001d002340		Cell differentiation Rcd1-like protein	AT3G20800
Zm00001d002341		OSJNBa0070C17.17 protein;  protein	AT1G16320,AT1G79510
Zm00001d002342		Polygalacturonase QRT3	AT4G20050
Zm00001d002343	zip3	zinc-regulated, iron-regulated transporter-like protein3	AT3G12750
Zm00001d002344		Vacuolar ATPase assembly integral membrane protein VMA21-like domain	
Zm00001d002345	pprsmr1	pentatricopeptide repeat smr1	AT1G79490
Zm00001d002346	cad1	cinnamyl alcohol dehydrogenase1	AT4G37990,AT4G37980
Zm00001d002347		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	
Zm00001d002348		Carbohydrate-binding X8 domain superfamily protein	
Zm00001d002349	ks3	kaurene synthase3	AT1G79460
Zm00001d002350	ks2	kaurene synthase2	
Zm00001d002351	tps1	terpene synthase1	
Zm00001d002352		Whole genome shotgun sequence of line PN40024 scaffold_11.assembly12x (Fragment)	
Zm00001d002353	gl2	glossy2	AT3G23840,AT4G13840
Zm00001d002356		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	AT5G14600
Zm00001d002357		Protein kinase superfamily protein	AT4G24480
Zm00001d002358	nec4	necrotic4	AT4G03205,AT1G03475
Zm00001d002359	hak15	potassium high-affinity transporter15	
Zm00001d002360		Embryonic protein DC-8	AT5G44310,AT4G21020
Zm00001d002361		Probable metal-nicotianamine transporter YSL7	
Zm00001d002362		Methionine aminopeptidase	AT1G13270
Zm00001d002364	ereb97	AP2-EREBP-transcription factor 97	AT1G53170,AT3G15210
Zm00001d002365		UDP-glycosyltransferase 90A1	
Zm00001d002366	pco135861(187)	Transcription initiation factor TFIIE beta subunit	AT4G20330,AT4G21010
Zm00001d002367		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 2	
Zm00001d002369		Probable protein phosphatase 2C 9	
Zm00001d002370		HXXXD-type acyl-transferase family protein	AT1G32910,AT5G16410,AT1G78990
Zm00001d002371	pco135860	Protein kinase superfamily protein	AT4G31170,AT2G24360
Zm00001d002372		evolutionarily conserved C-terminal region 10	
Zm00001d002373		26S proteasome non-ATPase regulatory subunit 1 homolog B	AT2G32730,AT1G04810
Zm00001d002374		SAUR-like auxin-responsive protein family	
Zm00001d002377		Galactokinase	AT3G10700
Zm00001d002378		Sodium transporter HKT1	
Zm00001d002381		Plasma membrane	
Zm00001d002382		Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein	AT4G30060,AT4G25870,AT2G19160,AT5G57270,AT4G31350
Zm00001d002383		AT2G41900 (E=3e-023) | zinc finger (CCCH-type) family protein	
Zm00001d002384	pco102443	PAP fibrillin family protein	AT5G19940
Zm00001d002385		Putative RNA methyltransferase	AT5G10620
Zm00001d002388		Mannosyl-oligosaccharide 12-alpha-mannosidase MNS1	AT3G21160,AT1G51590
Zm00001d002390		DNA ligase 4	
Zm00001d002391		Ubiquitin-specific protease family C19-related protein	AT1G16860,AT1G78880
Zm00001d002393		Methionyl-tRNA synthetase	
Zm00001d002394		Methionyl-tRNA synthetase	
Zm00001d002395	pco101521	60S ribosomal protein L7-2	AT2G44120,AT2G01250,AT3G13580
Zm00001d002396	GRMZM2G140328	Calcium-transporting ATPase 9 plasma membrane-type	AT4G29900,AT5G57110
Zm00001d002399		Plant intracellular Ras-group-related LRR protein 7	
Zm00001d002402		Plant intracellular Ras-group-related LRR protein 7	AT4G29880,AT4G26050,AT2G19330
Zm00001d002403		Peptidyl-tRNA hydrolase II (PTH2) family protein	AT5G10700
Zm00001d002405	wrky50	WRKY-transcription factor 50	
Zm00001d002407		Probable metal-nicotianamine transporter YSL7	
Zm00001d002408		CHL-CPN10	
Zm00001d002410		Probable xyloglucan endotransglucosylase/hydrolase protein 21	
Zm00001d002411		Diphosphomevalonate decarboxylase MVD2	
Zm00001d002412		Probable xyloglucan endotransglucosylase/hydrolase protein 21	
Zm00001d002413		Villin-4	AT5G57320,AT4G30160
Zm00001d002414		Thaumatin-like protein 1	
Zm00001d002415		OSJNBa0041A02.21 protein;  protein	
Zm00001d002416		RING/U-box superfamily protein	
Zm00001d002418	TIDP3424	yeast YAK1-related gene 1	AT5G35980
Zm00001d002419		APO protein 4 mitochondrial	AT3G21740
Zm00001d002420		Nucleic acid binding protein	AT1G31600
Zm00001d002421		Pentatricopeptide repeat-containing protein  chloroplastic	AT3G22150
Zm00001d002422		Pectin acetylesterase 7	AT4G19410,AT5G45280
Zm00001d002423	mex1	maltose excess protein1	AT5G17520
Zm00001d002424	thx23	Trihelix-transcription factor 23	
Zm00001d002425		putrescine-binding periplasmic protein-related	
Zm00001d002426	pco102387c	Thylakoid lumenal 29 kDa protein chloroplastic	AT4G09010
Zm00001d002428	nsa1	Na+ content under saline-alkaline conditions1	AT1G64850
Zm00001d002429	grftf8	GRF-transcription factor 8	AT3G52910,AT2G36400
Zm00001d002430		GPCR-type G protein 2	
Zm00001d002431		GPCR-type G protein 2	
Zm00001d002432		Protein BREVIS RADIX	
Zm00001d002433		OSJNBa0083N12.13 protein;  protein	AT4G19140
Zm00001d002434	aox3	alternative oxidase3	
Zm00001d002435		Alternative oxidase	
Zm00001d002436	aox2	alternative oxidase2	AT3G22370,AT3G27620,AT3G22360
Zm00001d002439	glk36	G2-like-transcription factor 36	AT5G45580
Zm00001d002440		Clathrin interactor EPSIN 1	AT5G11710
